Election,County,Office,Party,Candidate,Votes,ElectionDayVotes,MailVotes,ProvisionalVotes
2020 Presidential Election,NORTHAMPTON,President of the United States,Libertarian,"JORGENSEN, JO",2001,1217,761,23
2020 Presidential Election,NORTHUMBERLAND,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",12677,6831,5630,216
2020 Presidential Election,NORTHUMBERLAND,President of the United States,Republican,"TRUMP, DONALD J.",28952,25050,3417,485
2020 Presidential Election,NORTHUMBERLAND,President of the United States,Libertarian,"JORGENSEN, JO",654,505,136,13
2020 Presidential Election,PERRY,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",5950,2826,3083,41
2020 Presidential Election,PERRY,President of the United States,Republican,"TRUMP, DONALD J.",18293,15752,2384,157
2020 Presidential Election,PERRY,President of the United States,Libertarian,"JORGENSEN, JO",409,316,88,5
2020 Presidential Election,PHILADELPHIA,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",603790,252719,339403,11668
2020 Presidential Election,PHILADELPHIA,President of the United States,Republican,"TRUMP, DONALD J.",132740,101002,29115,2623
2020 Presidential Election,PHILADELPHIA,President of the United States,Libertarian,"JORGENSEN, JO",4847,2904,1843,100
2020 Presidential Election,PIKE,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",13019,4212,8641,166
2020 Presidential Election,PIKE,President of the United States,Republican,"TRUMP, DONALD J.",19213,14468,4491,254
2020 Presidential Election,PIKE,President of the United States,Libertarian,"JORGENSEN, JO",322,180,141,1
2020 Presidential Election,POTTER,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",1726,918,787,21
2020 Presidential Election,POTTER,President of the United States,Republican,"TRUMP, DONALD J.",7239,6360,790,89
2020 Presidential Election,POTTER,President of the United States,Libertarian,"JORGENSEN, JO",99,84,14,1
2020 Presidential Election,SCHUYLKILL,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",20727,10884,9569,274
2020 Presidential Election,SCHUYLKILL,President of the United States,Republican,"TRUMP, DONALD J.",48871,42010,6150,711
2020 Presidential Election,SCHUYLKILL,President of the United States,Libertarian,"JORGENSEN, JO",1005,764,233,8
2020 Presidential Election,SNYDER,President of the United States,Democratic,"BIDEN, JOSEPH ROBINETTE JR",4910,2327,2557,26
2020 Presidential Election,SNYDER,President of the United States,Republican,"TRUMP, DONALD J.",13983,12109,1741,133
2020 Presidential Election,SNYDER,President of the United States,Libertarian,"JORGENSEN, JO",247,169,74,4
