Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-20,Susquehanna,5,NA,NA,NA
2020-12-20,Tioga,2,NA,NA,NA
2020-12-20,Union,21,NA,NA,NA
2020-12-20,Venango,2,NA,NA,NA
2020-12-20,Washington,25,NA,NA,NA
2020-12-20,Wayne,11,NA,NA,NA
2020-12-20,Westmoreland,85,NA,NA,NA
2020-12-20,Wyoming,6,NA,NA,NA
2020-12-20,York,87,NA,NA,NA
2020-12-21,Adams,58,NA,NA,NA
2020-12-21,Allegheny,2765,NA,NA,NA
2020-12-21,Armstrong,90,NA,NA,NA
2020-12-21,Beaver,167,NA,NA,NA
2020-12-21,Bedford,19,NA,NA,NA
2020-12-21,Berks,320,NA,NA,NA
2020-12-21,Blair,155,NA,NA,NA
2020-12-21,Bradford,101,NA,NA,NA
2020-12-21,Bucks,826,NA,NA,NA
2020-12-21,Butler,342,NA,NA,NA
2020-12-21,Cambria,220,NA,NA,NA
2020-12-21,Cameron,2,NA,NA,NA
2020-12-21,Carbon,38,NA,NA,NA
2020-12-21,Centre,200,NA,NA,NA
2020-12-21,Chester,684,NA,NA,NA
2020-12-21,Clarion,18,NA,NA,NA
2020-12-21,Clearfield,295,NA,NA,NA
2020-12-21,Clinton,27,NA,NA,NA
2020-12-21,Columbia,27,NA,NA,NA
2020-12-21,Crawford,578,NA,NA,NA
2020-12-21,Cumberland,174,NA,NA,NA
2020-12-21,Dauphin,216,NA,NA,NA
2020-12-21,Delaware,563,1,NA,NA
2020-12-21,Elk,90,NA,NA,NA
2020-12-21,Erie,742,NA,NA,NA
2020-12-21,Fayette,181,NA,NA,NA
2020-12-21,Forest,7,NA,NA,NA
2020-12-21,Franklin,41,NA,NA,NA
2020-12-21,Fulton,2,NA,NA,NA
2020-12-21,Greene,11,NA,NA,NA
2020-12-21,Huntingdon,101,NA,NA,NA
2020-12-21,Indiana,155,NA,NA,NA
2020-12-21,Jefferson,126,NA,NA,NA
2020-12-21,Juniata,13,NA,NA,NA
2020-12-21,Lackawanna,257,NA,NA,NA
2020-12-21,Lancaster,385,NA,NA,NA
2020-12-21,Lawrence,74,NA,NA,NA
2020-12-21,Lebanon,31,NA,NA,NA
2020-12-21,Lehigh,453,NA,NA,NA
2020-12-21,Luzerne,406,NA,NA,NA
2020-12-21,Lycoming,145,NA,NA,NA
2020-12-21,McKean,35,NA,NA,NA
2020-12-21,Mercer,176,NA,NA,NA
2020-12-21,Mifflin,43,NA,NA,NA
2020-12-21,Monroe,61,NA,NA,NA
2020-12-21,Montgomery,1022,NA,NA,NA
2020-12-21,Montour,43,NA,NA,NA
2020-12-21,Northampton,341,NA,NA,NA
2020-12-21,Northumberland,90,NA,NA,NA
2020-12-21,Perry,12,NA,NA,NA
2020-12-21,Philadelphia,1385,1,NA,NA
2020-12-21,Pike,8,NA,NA,NA
2020-12-21,Potter,33,NA,NA,NA
2020-12-21,Schuylkill,37,NA,NA,NA
2020-12-21,Snyder,59,NA,NA,NA
2020-12-21,Somerset,115,NA,NA,NA
2020-12-21,Sullivan,4,NA,NA,NA
2020-12-21,Susquehanna,8,NA,NA,NA
2020-12-21,Tioga,81,NA,NA,NA
2020-12-21,Union,96,NA,NA,NA
2020-12-21,Venango,156,NA,NA,NA
2020-12-21,Warren,11,NA,NA,NA
2020-12-21,Washington,284,NA,NA,NA
2020-12-21,Wayne,16,NA,NA,NA
2020-12-21,Westmoreland,730,NA,NA,NA
2020-12-21,Wyoming,17,NA,NA,NA
2020-12-21,York,247,NA,NA,NA
2020-12-22,Adams,73,NA,NA,NA
2020-12-22,Allegheny,2555,NA,NA,NA
2020-12-22,Armstrong,110,NA,NA,NA
2020-12-22,Beaver,174,NA,NA,NA
2020-12-22,Bedford,21,NA,NA,NA
2020-12-22,Berks,421,NA,NA,NA
2020-12-22,Blair,354,NA,NA,NA
2020-12-22,Bradford,89,NA,NA,NA
2020-12-22,Bucks,1106,NA,NA,NA
2020-12-22,Butler,372,NA,NA,NA
2020-12-22,Cambria,273,NA,NA,NA
2020-12-22,Cameron,6,NA,NA,NA
2020-12-22,Carbon,74,NA,NA,NA
2020-12-22,Centre,282,NA,NA,NA
2020-12-22,Chester,731,1,NA,NA
2020-12-22,Clarion,77,NA,NA,NA
2020-12-22,Clearfield,235,NA,NA,NA
2020-12-22,Clinton,41,NA,NA,NA
2020-12-22,Columbia,74,NA,NA,NA
2020-12-22,Crawford,101,NA,NA,NA
2020-12-22,Cumberland,423,NA,NA,NA
2020-12-22,Dauphin,393,NA,NA,NA
2020-12-22,Delaware,962,2,NA,NA
2020-12-22,Elk,107,NA,NA,NA
2020-12-22,Erie,689,NA,NA,NA
2020-12-22,Fayette,285,NA,NA,NA
2020-12-22,Forest,9,NA,NA,NA
2020-12-22,Franklin,114,NA,NA,NA
2020-12-22,Fulton,4,NA,NA,NA
2020-12-22,Greene,20,NA,NA,NA
2020-12-22,Huntingdon,82,NA,NA,NA
2020-12-22,Indiana,119,1,NA,NA
2020-12-22,Jefferson,179,NA,NA,NA
2020-12-22,Juniata,12,NA,NA,NA
2020-12-22,Lackawanna,275,NA,NA,NA
2020-12-22,Lancaster,519,NA,NA,NA
2020-12-22,Lawrence,126,NA,NA,NA
2020-12-22,Lebanon,141,NA,NA,NA
2020-12-22,Lehigh,962,NA,NA,NA
2020-12-22,Luzerne,537,NA,NA,NA
2020-12-22,Lycoming,184,NA,NA,NA
2020-12-22,McKean,31,NA,NA,NA
2020-12-22,Mercer,179,NA,NA,NA
2020-12-22,Mifflin,49,NA,NA,NA
2020-12-22,Monroe,156,NA,NA,NA
2020-12-22,Montgomery,1053,1,NA,NA
2020-12-22,Montour,73,NA,NA,NA
2020-12-22,Northampton,584,NA,NA,NA
2020-12-22,Northumberland,82,NA,NA,NA
2020-12-22,Perry,29,NA,NA,NA
2020-12-22,Philadelphia,1540,4,NA,NA
2020-12-22,Pike,30,NA,NA,NA
2020-12-22,Potter,29,NA,NA,NA
2020-12-22,Schuylkill,192,NA,NA,NA
2020-12-22,Snyder,8,NA,NA,NA
2020-12-22,Somerset,77,NA,NA,NA
2020-12-22,Sullivan,3,NA,NA,NA
2020-12-22,Susquehanna,16,NA,NA,NA
2020-12-22,Tioga,48,NA,NA,NA
2020-12-22,Union,33,NA,NA,NA
2020-12-22,Venango,108,NA,NA,NA
2020-12-22,Warren,83,NA,NA,NA
2020-12-22,Washington,427,NA,NA,NA
2020-12-22,Wayne,74,NA,NA,NA
2020-12-22,Westmoreland,822,NA,NA,NA
2020-12-22,Wyoming,16,NA,NA,NA
2020-12-22,York,489,NA,NA,NA
2020-12-23,Adams,56,NA,NA,NA
2020-12-23,Allegheny,2142,NA,NA,NA
2020-12-23,Armstrong,128,NA,NA,NA
2020-12-23,Beaver,145,NA,NA,NA
2020-12-23,Bedford,42,NA,NA,NA
2020-12-23,Berks,439,NA,NA,NA
2020-12-23,Blair,199,NA,NA,NA
2020-12-23,Bradford,107,NA,NA,NA
2020-12-23,Bucks,1191,NA,NA,NA
2020-12-23,Butler,257,NA,NA,NA
2020-12-23,Cambria,236,NA,NA,NA
2020-12-23,Cameron,6,NA,NA,NA
2020-12-23,Carbon,181,NA,NA,NA
2020-12-23,Centre,159,NA,NA,NA
2020-12-23,Chester,747,NA,NA,NA
2020-12-23,Clarion,100,NA,NA,NA
2020-12-23,Clearfield,66,NA,NA,NA
2020-12-23,Clinton,22,NA,NA,NA
2020-12-23,Columbia,110,NA,NA,NA
2020-12-23,Crawford,28,NA,NA,NA
2020-12-23,Cumberland,232,NA,NA,NA
2020-12-23,Dauphin,291,NA,NA,NA
2020-12-23,Delaware,990,4,NA,NA
2020-12-23,Elk,19,NA,NA,NA
2020-12-23,Erie,411,NA,NA,NA
2020-12-23,Fayette,131,NA,NA,NA
2020-12-23,Forest,43,NA,NA,NA
2020-12-23,Franklin,114,NA,NA,NA
2020-12-23,Fulton,23,NA,NA,NA
2020-12-23,Greene,46,NA,NA,NA
2020-12-23,Huntingdon,23,NA,NA,NA
2020-12-23,Indiana,102,NA,NA,NA
2020-12-23,Jefferson,75,NA,NA,NA
2020-12-23,Juniata,11,NA,NA,NA
2020-12-23,Lackawanna,267,1,NA,NA
2020-12-23,Lancaster,630,NA,NA,NA
2020-12-23,Lawrence,66,NA,NA,NA
2020-12-23,Lebanon,88,NA,NA,NA
2020-12-23,Lehigh,1327,NA,NA,NA
2020-12-23,Luzerne,495,NA,NA,NA
2020-12-23,Lycoming,107,NA,NA,NA
2020-12-23,McKean,67,NA,NA,NA
2020-12-23,Mercer,118,NA,NA,NA
2020-12-23,Mifflin,48,NA,NA,NA
2020-12-23,Monroe,202,NA,NA,NA
2020-12-23,Montgomery,1358,1,NA,NA
2020-12-23,Montour,74,NA,NA,NA
2020-12-23,Northampton,833,NA,NA,NA
2020-12-23,Northumberland,68,NA,NA,NA
2020-12-23,Perry,32,NA,NA,NA
2020-12-23,Philadelphia,1556,5,NA,NA
2020-12-23,Pike,23,NA,NA,NA
2020-12-23,Potter,36,NA,NA,NA
2020-12-23,Schuylkill,251,NA,NA,NA
2020-12-23,Snyder,26,NA,NA,NA
2020-12-23,Somerset,133,NA,NA,NA
2020-12-23,Sullivan,3,NA,NA,NA
2020-12-23,Susquehanna,29,NA,NA,NA
2020-12-23,Tioga,88,NA,NA,NA
2020-12-23,Union,26,NA,NA,NA
2020-12-23,Venango,79,NA,NA,NA
2020-12-23,Warren,154,NA,NA,NA
2020-12-23,Washington,254,NA,NA,NA
2020-12-23,Wayne,58,NA,NA,NA
2020-12-23,Westmoreland,487,NA,NA,NA
2020-12-23,Wyoming,22,NA,NA,NA
2020-12-23,York,252,NA,NA,NA
2020-12-24,Adams,13,NA,NA,NA
2020-12-24,Allegheny,743,NA,NA,NA
2020-12-24,Armstrong,22,NA,NA,NA
2020-12-24,Beaver,14,1,NA,NA
2020-12-24,Bedford,16,NA,NA,NA
2020-12-24,Berks,71,NA,NA,NA
2020-12-24,Blair,5,NA,NA,NA
2020-12-24,Bradford,3,NA,NA,NA
2020-12-24,Bucks,392,NA,NA,NA
2020-12-24,Butler,34,NA,NA,NA
2020-12-24,Cambria,114,NA,NA,NA
2020-12-24,Cameron,1,NA,NA,NA
2020-12-24,Carbon,64,NA,NA,NA
2020-12-24,Centre,13,NA,NA,NA
2020-12-24,Chester,134,NA,NA,NA
2020-12-24,Clarion,11,NA,NA,NA
2020-12-24,Clearfield,34,NA,NA,NA
2020-12-24,Clinton,3,NA,NA,NA
2020-12-24,Columbia,43,NA,NA,NA
2020-12-24,Crawford,6,NA,NA,NA
2020-12-24,Cumberland,44,NA,NA,NA
2020-12-24,Dauphin,81,NA,NA,NA
2020-12-24,Delaware,159,NA,NA,NA
2020-12-24,Elk,2,NA,NA,NA
2020-12-24,Erie,137,NA,NA,NA
2020-12-24,Fayette,26,NA,NA,NA
2020-12-24,Forest,3,NA,NA,NA
2020-12-24,Franklin,109,NA,NA,NA
2020-12-24,Fulton,4,NA,NA,NA
2020-12-24,Greene,1,NA,NA,NA
2020-12-24,Indiana,55,NA,NA,NA
2020-12-24,Jefferson,20,NA,NA,NA
2020-12-24,Juniata,7,NA,NA,NA
2020-12-24,Lackawanna,41,NA,NA,NA
2020-12-24,Lancaster,262,NA,NA,NA
2020-12-24,Lawrence,13,NA,NA,NA
2020-12-24,Lebanon,83,NA,NA,NA
2020-12-24,Lehigh,389,NA,NA,NA
2020-12-24,Luzerne,98,NA,NA,NA
2020-12-24,Lycoming,6,NA,NA,NA
2020-12-24,McKean,64,NA,NA,NA
2020-12-24,Mercer,44,NA,NA,NA
2020-12-24,Mifflin,19,NA,NA,NA
2020-12-24,Monroe,110,NA,NA,NA
2020-12-24,Montgomery,530,NA,NA,NA
2020-12-24,Montour,56,NA,NA,NA
2020-12-24,Northampton,198,NA,NA,NA
2020-12-24,Northumberland,35,NA,NA,NA
